Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Capital Gain Yeild,Dividend Yeild,Total Monthly Return,Rolling Balance,Percent_change_since_last_month,Percent_change_since_last_year
1926-01-01,12.65,0.6075,1.249,17.9,3.68,216.34,10.39,21.36,11.34,,,,,,
1926-02-01,12.67,0.615,1.248,17.9,3.65,216.68,10.52,21.34,11.39,0.001571600258851823,0.00405226341252966,0.005623863671381483,10056.24,,
1926-03-01,11.81,0.6225,1.248,17.8,3.62,203.11,10.71,21.46,10.71,-0.06262691526675278,0.004118977293705003,-0.05850793797304778,9467.87,-5.85,
1926-04-01,11.48,0.63,1.247,17.9,3.6,196.33,10.77,21.33,10.4,-0.033380926591502144,0.004418787848948845,-0.0289621387425533,9193.66,-2.9,
1926-05-01,11.56,0.6375,1.246,17.8,3.57,198.81,10.96,21.43,10.58,0.012631793409056128,0.004652031443657788,0.017283824852713917,9352.56,1.73,
1926-06-01,12.11,0.645,1.245,17.7,3.54,209.45,11.16,21.53,11.2,0.05351843468638392,0.00467783310698657,0.05819626779337049,9896.84,5.82,
1926-07-01,12.62,0.6525,1.244,17.5,3.51,220.76,11.41,21.76,11.87,0.053998567677249955,0.004539667382828042,0.058538235060078,10476.19,5.85,
1926-08-01,13.12,0.66,1.243,17.4,3.48,230.83,11.61,21.87,12.49,0.045615147671679755,0.004382587425258199,0.04999773509693795,10999.97,5.0,
1926-09-01,13.32,0.6675,1.242,17.5,3.45,233.01,11.68,21.73,12.69,0.009444179699345745,0.004216667388698753,0.013660847088044499,11150.24,1.37,
1926-10-01,13.02,0.675,1.242,17.6,3.42,226.46,11.74,21.6,12.43,-0.028110381528689683,0.004198675307211422,-0.02391170622147826,10883.62,-2.39,
1926-11-01,13.19,0.6825,1.241,17.7,3.4,228.13,11.8,21.46,12.62,0.007374370749801234,0.00434219435367541,0.011716565103476644,11011.14,1.17,
1926-12-01,13.49,0.69,1.24,17.7,3.37,233.31,11.93,21.45,13.01,0.022706351641607884,0.004357895352065343,0.027064246993673227,11309.15,2.71,
1927-01-01,13.4,0.6967,1.229,17.5,3.34,234.41,12.19,21.5,13.19,0.004714757190004691,0.004354006829254354,0.009068764019259046,11411.71,0.91,
1927-02-01,13.66,0.7033,1.218,17.4,3.34,240.33,12.37,21.43,13.63,0.025254895268973235,0.004397565519104703,0.029652460788077938,11750.09,2.97,16.84
1927-03-01,13.87,0.71,1.208,17.3,3.34,245.43,12.56,21.38,14.03,0.02122082137061538,0.004355122817237409,0.02557594418785279,12050.61,2.56,27.28
1927-04-01,14.21,0.7167,1.197,17.3,3.34,251.45,12.68,21.18,14.49,0.02452837876380223,0.0043053688084857865,0.028833747572288015,12398.08,2.88,34.85
1927-05-01,14.7,0.7233,1.186,17.4,3.34,258.62,12.73,20.87,15.0,0.028514615231656458,0.004218863922582356,0.03273347915423881,12803.91,3.27,36.9
1927-06-01,14.89,0.73,1.175,17.6,3.34,258.99,12.7,20.44,15.12,0.001430670481787969,0.004092233134843915,0.0055229036166318845,12874.63,0.55,30.09
1927-07-01,15.22,0.7367,1.164,17.3,3.33,269.32,13.04,20.6,15.82,0.03988570987296801,0.004195786195091187,0.044081496068059195,13442.16,4.41,28.31
1927-08-01,16.03,0.7433,1.153,17.2,3.33,285.3,13.23,20.52,16.86,0.05933462052576867,0.0040936432496658254,0.06342826377543449,14294.77,6.34,29.95
1927-09-01,16.94,0.75,1.143,17.3,3.33,299.76,13.27,20.23,17.82,0.050683491062039884,0.0038760369202009573,0.05455952798224084,15074.69,5.46,35.2
1927-10-01,16.68,0.7567,1.132,17.4,3.33,293.46,13.31,19.92,17.54,-0.021016813450760646,0.0037001823681167157,-0.017316631082643932,14813.64,-1.73,36.11
1927-11-01,17.06,0.7633,1.121,17.3,3.33,301.88,13.51,19.84,18.13,0.02869215566005594,0.003836411549558145,0.032528567209614084,15295.51,3.25,38.91
1927-12-01,17.46,0.77,1.11,17.3,3.33,308.96,13.63,19.64,18.65,0.023453027693123043,0.0037625325736495743,0.027215560266772618,15711.79,2.72,38.93
1928-01-01,17.53,0.7767,1.133,17.3,3.33,310.2,13.74,20.05,18.81,0.004013464526152283,0.0037059813568099433,0.007719445882962226,15833.07,0.77,38.74
